T,FC,x1,x2
1,4,2.754164342884782,2.976868891813861
2,4,5.2418104453381,9.239037216828537
3,6,5.249493436719247,8.183377665548992
4,2,7.400301822702006,8.274100433809867
5,2,4.436650036157132,4.138792964162728
6,8,8.556394409718813,8.363268666595106
7,3,4.707987756835335,3.030729567939121
8,2,5.269143087009624,4.189875052695998
9,2,6.978688210634582,6.498291564540592
10,2,4.474654545806415,5.178856788876302
11,4,7.532696758369148,2.131863289842836
12,3,3.0402933450908027,3.359152027697888
13,0,3.6796739413966613,5.101293430872633
14,2,7.048070589214083,5.528770938729013
15,2,5.663003426100733,6.222122827232569
16,1,6.144185347580503,7.494366657289699
17,0,5.372769450431132,3.6459753746922647
18,2,6.513482547313993,4.505197526559402
19,0,2.313574004542126,6.7895120510778675
20,0,6.329366558809202,3.870957611029172
