T,FC,x1
1,5,6.400334545164779
2,3,3.5344954959954
3,7,3.372997017476099
4,5,5.15643399297032
5,3,6.011929298134188
6,2,7.269701855539967
7,4,5.003732396424521
8,1,4.336479254101466
9,2,6.232844094265686
10,2,3.564213798582953
11,7,3.551678615827491
12,4,7.080240545178834
13,3,8.212027599332613
14,1,5.192975632142419
15,0,5.7307821527880325
16,0,4.951055140878615
17,4,3.9513292555795907
18,2,8.548899729916583
19,1,3.6098947389529576
20,2,3.2392502682375133
