T,FC,x1
1,2,4.724309170785347
2,2,5.398908294986063
3,3,5.6948265952882124
4,0,6.572018670804692
5,1,6.157882222106653
6,0,4.263835635671152
7,0,4.477983141854237
8,3,6.365708572014059
9,1,6.229495028648372
10,2,6.787041106183349
11,2,5.158270568281752
12,4,7.8968854763290715
13,1,7.0821773776366825
14,3,10.011840648048768
15,0,2.8037332060709153
16,2,9.271738511912242
17,1,6.284178427848916
18,0,5.078870015419343
19,1,3.223609212805363
20,2,6.006679664777299
