T,FC,x1
1,2,3.3191116270877403
2,68,7.487524128988414
3,35,6.448506985292747
4,7,11.136212753040054
5,2,6.3194500406039555
6,0,7.496181864696131
7,0,3.7912952876283477
8,0,4.243316960439803
9,0,3.5253940873031713
10,0,5.052847613394337
11,0,3.9049612128759894
12,0,3.255890624032652
13,0,3.578574846200442
14,0,4.343058079703744
15,0,7.078746053374585
16,0,6.252938294464126
17,0,3.4583494194250504
18,0,7.209475473062462
19,0,6.201065821196609
20,0,3.594345563309696
