T,FC,x1,x2
1,1,5.173449253205499,2.8062229610238276
2,1,3.3635318964528103,8.663495982185378
3,3,6.263385546260173,3.209308727425477
4,9,8.16939444715557,9.155781958593426
5,8,3.2525843869356925,7.32940838754776
6,4,6.049231859463522,3.6173045730911118
7,4,4.711935560982603,2.81911888144581
8,3,4.704323806542355,2.027105845213485
9,3,5.991669632854549,7.249929751843928
10,3,7.539978601889225,5.298806121024402
11,4,4.772004230281819,4.623474422106081
12,2,3.7004879388013365,2.2719610617896473
13,0,4.088717608106869,3.7677682154333576
14,1,3.033646885678446,6.000757190004311
15,4,3.1024492500699696,5.922896219760453
16,6,6.787978147434797,6.1512599724284485
17,3,2.326854805358982,3.175277222960361
18,3,6.27808781333155,6.762343710744525
19,0,3.221172152605716,3.0408406614686116
20,3,7.185719116896456,7.203358319467612
