T,FC,x1
1,1,5.154739366505663
2,3,6.3829303382497375
3,2,6.83591736284279
4,4,2.166142962912411
5,4,5.467271272707897
6,4,2.072922927929448
7,3,3.647349211580614
8,3,3.1111916670741744
9,4,6.086521210441799
10,3,3.5146285644448634
11,3,2.4250521408458474
12,2,6.510203848206908
13,3,9.657352973910594
14,1,7.49308366553666
15,2,4.277504068318664
16,2,2.500416096405424
17,2,7.026266023543143
18,6,5.88654713871696
19,0,7.119743938489751
20,1,4.442487208572558
