T,FC,x1,x2,x3
1,3,8.255740806129943,7.189563409005618,2.208987606840477
2,0,5.108361431615049,4.218627976668474,11.323058223135796
3,4,7.932003946114041,4.124479531535609,3.2891480970537628
4,1,5.942237124599175,2.362701214388353,3.185477845201226
5,5,4.052244227003728,6.517007886815972,5.115532817270589
6,3,4.468169915126764,10.040570355963059,4.697663627227666
7,2,2.0978898078612533,7.874664692982379,3.318002737649482
8,4,3.1302177493490064,3.635906284954149,3.9655065339326403
9,4,6.717094920282928,7.15889272486334,5.2386692695281845
10,2,11.52290846702657,3.7418449595900114,3.916861244085814
11,3,4.130001730985402,8.745156688313534,5.11487332261323
12,2,2.051457923494803,5.043195761454807,8.214134114339497
13,5,4.238761999189569,5.85477243620724,2.845498942030618
14,6,8.990379206758414,5.069876412417729,2.308385474098392
15,3,3.494159549232804,8.912385958995813,3.305096191477086
16,4,4.1249182841642975,4.149356720096772,7.275924630589751
17,1,8.254599184999535,6.1961835870328414,7.041492380046381
18,1,2.4692353772094546,5.230676146006863,5.164047108774704
19,2,3.61237959177286,5.360234694072966,5.450927998245721
20,3,7.288072446434039,4.866130603934259,5.747332884821165
