T,FC,x1
1,0,3.312420310982747
2,2,7.060391866343832
3,0,4.445860900550963
4,0,3.947419690788241
5,0,7.181540027047651
6,1,5.120864366378004
7,0,3.3641839586785793
8,1,2.2837125035659986
9,1,7.109749710289839
10,0,8.904161919934166
11,0,3.0152537399040886
12,2,3.6327549987701566
13,0,2.6488431414869713
14,1,4.695072114431889
15,2,5.57157465406599
16,0,6.521536558597391
17,2,3.938045114062073
18,2,7.723474556275728
19,0,7.283154966656169
20,1,4.243481193650176
