T,FC,x1
1,1,4.259165186081044
2,0,6.551764613755118
3,2,3.6465919474244126
4,0,5.155684249086743
5,3,6.620695576515777
6,3,8.374766475207863
7,0,7.138479773767577
8,2,5.907639153759247
9,2,2.2901455986398793
10,2,4.719587392635448
11,2,4.535927395058849
12,0,5.551566855835278
13,3,5.162322026866534
14,2,8.558485278931007
15,2,7.520756556647883
16,1,3.024249496727189
17,1,5.298267347855912
18,1,5.26689108630416
19,0,6.5462543707864675
20,2,4.036631295678865
