T,FC,x1,x2
1,0,6.3515148056897175,8.171118270171988
2,1,7.251799498617828,2.2397529720101024
3,0,7.583644653531019,5.068636909930609
4,3,6.121223088228321,7.344574440652634
5,2,7.658657246296512,2.0567121706579963
6,4,4.735230189013061,7.316594229234748
7,3,2.448618435174981,6.766139250788673
8,2,4.967887469597929,5.336661159756271
9,3,4.161469756759207,7.7973247265268055
10,5,4.603071147699765,6.543064010349416
11,3,7.352361764749672,7.3934744907980585
12,1,6.303594049298983,3.4751602507110917
13,5,2.5639902864678703,5.0781833546686315
14,2,5.150348902452255,7.725312502759541
15,1,6.064735827742865,5.080681891965358
16,5,2.3431915581057075,7.093427522875128
17,4,5.8945839084457665,5.175426276407849
18,2,7.071355554119305,6.688865068123805
19,2,8.254314781482726,4.297348339074916
20,2,3.3129856976298235,8.212227990243425
