T,FC,x1,x2,x3
1,1,6.583128763306021,8.084235868318009,3.9724534077305003
2,4,6.036072622927172,2.1275266631336516,2.573703471884758
3,7,4.084204408018422,3.0954504337527595,4.080505904719271
4,5,6.0477392215324794,7.048074044365825,5.090543133978697
5,5,6.758659119985801,3.4603157903903465,4.000579662159665
6,4,6.641935512025789,5.1722052103926535,3.2646447334676685
7,1,2.388161537644054,4.344287635988127,4.500644698607289
8,3,7.878353391693938,3.8200211695963926,6.634889750820511
9,2,3.1828595056883895,8.090034514830995,4.094442518279925
10,8,6.94738573000348,5.59846543705431,4.0094940841635776
11,1,7.16743893762303,7.363598065479297,7.174888630115145
12,7,5.463111154149168,2.2707274767446757,6.645649659840669
13,0,7.644904251058278,4.857729772279521,8.213233248200751
14,6,6.101847466240825,3.3611607287286427,7.092795582783468
15,3,4.33286631535702,7.969572105472867,6.4532031198640345
16,3,3.5556916861485015,4.194209384839912,3.106459426293439
17,2,6.207552392075004,7.0120947506944535,8.05122711686306
18,0,4.6403751741352925,4.293650280343797,5.827426234276559
19,1,6.446691959489825,8.02376831435068,4.665656504048683
20,2,2.3108392484901725,2.272837529512572,8.109086276860815
