T,FC,x1,x2
1,1,2.3226227018148746,7.721422108794814
2,3,4.084764840893523,6.183705477829418
3,4,3.49778672265682,4.753175312895202
4,6,9.39798761130944,7.247767749450425
5,2,2.1978630393054313,6.965950261506569
6,4,5.1100643877631216,2.574238769326419
7,5,5.707837992766015,8.719356856034157
8,8,6.19154025416333,2.4015291350278796
9,4,5.132847688324642,3.988713443334511
10,6,5.622804712202908,5.024061769530804
11,7,3.155957613826583,4.003772487433694
12,4,8.441156394531946,5.655290126283657
13,2,2.243648656602765,4.302264967318953
14,2,5.325984095852126,2.224018123566586
15,5,9.991204574930979,3.0940577208860782
16,1,6.160139050633313,6.5358244576774
17,3,3.269426310402886,7.24675056917025
18,3,7.318703956821958,3.4249717781142412
19,0,5.525672967364749,4.767472940112525
20,1,3.3820287904095983,11.43678377986489
