T,FC,x1,x2,x3
1,1,2.919309598608539,3.258475219542875,5.7197004192273475
2,4,5.633444028651194,2.546597436856945,3.153170691319214
3,1,7.450000754915738,3.0864603389652348,4.22217346724406
4,6,5.4020021791204496,3.0841418999740733,8.88851170576252
5,2,6.268529569977535,6.553749714396486,6.286553803865094
6,4,7.070465519474163,7.015907446199628,3.415676881315667
7,6,5.029524605714913,7.103295532204726,2.2807713469241992
8,6,7.39201783495058,3.6052200142661155,3.8178242491732624
9,6,3.5122863331792726,7.276346800619862,9.561891801483355
10,7,7.774663651247273,5.199668484319469,2.5419425530861854
11,1,5.547744800128535,2.718719416224917,2.0744235144389513
12,1,4.279514761936415,7.662306423343864,9.084007143304415
13,2,6.3571388002905715,6.025155909579678,5.164764580977712
14,2,7.29003912048115,5.122150231863739,9.246601222345452
15,1,3.3571883052880596,6.188018159418336,3.9214282246163705
16,1,5.739267874557507,8.07543058892963,8.005710940306493
17,3,7.622127105880727,7.01068132248857,7.926488144005594
18,3,8.239384322812077,7.318744895863193,6.2873434422120145
19,1,7.951765015252911,4.766212872739189,5.495748944322999
20,0,2.9921994543538757,4.447130558352148,4.26768109291957
