T,FC,x1,x2
1,3,3.076429785445751,6.181686353021344
2,2,6.124480203095383,6.516390534805338
3,1,5.510150915589788,3.4537112654372626
4,0,2.2679356037391054,3.4038581921736912
5,4,5.069540030384569,10.778684241517915
6,2,2.2864761104694096,8.03073700731246
7,2,3.2948663358802817,7.2206960215082985
8,1,2.2969158261668783,5.338291139568264
9,3,7.933248722868977,4.0172631728421315
10,3,4.178909430596862,9.859276044309622
11,6,7.5471204159749306,6.038413544412718
12,4,6.568325503232815,6.122944888547639
13,5,7.412044639042886,7.413141191139126
14,6,4.391739730560106,6.587667064024707
15,3,5.339684285379487,7.199992037787591
16,3,5.0938235507330685,3.213744926519519
17,5,6.151256088885282,7.087361691676105
18,3,5.719105655277019,3.260455839504761
19,2,5.414497970482195,5.2957924188473395
20,3,4.1667772578801765,4.018267501375973
