T,FC,x1,x2,x3,x4,x5,x6
1,4,5.7977988984955475,7.544647149042964,5.30298368046913,7.676243919370579,5.070846813036139,6.652408901647544
2,3,6.934457970618065,2.171986172200777,7.484106011950515,3.040995986461593,7.134267981316444,3.017821972314663
3,6,4.095408320158975,5.009747400322632,10.529971102688737,2.1271743274976473,3.5913383324064734,5.274428524567746
4,12,3.538745015849691,4.8269013277366595,2.1002796566387336,5.150155703231391,5.833174835332175,6.4042670573696965
5,2,4.379980403744479,3.05057298461177,3.223554939688409,3.2295594654189266,5.0983995225636445,5.426648600133858
6,1,5.031329698527571,2.72691343472029,6.46667519703129,7.389372649567076,9.351973371429402,6.874842360047115
7,3,6.178365564054955,6.042335032904917,3.0803194308817097,8.269323617753388,5.089535582243167,2.3443701126113776
8,2,6.4986389730332546,3.804219821731683,2.586241905148756,7.541655525827149,5.362943979850317,4.323181599620344
9,5,5.90436648635359,9.782169329070378,6.745298794069557,6.111236705667186,6.8189925776733125,5.6903498116682485
10,5,3.1476695711434135,10.028019528272148,7.639316085739261,6.583163277460706,4.524621234816685,5.801136729346682
11,2,9.142638709266738,4.169202618009949,3.258542869013989,2.3334429384569377,6.110377306883451,3.615221724468528
12,1,3.674573964598288,7.479521433619784,8.4041366978248,4.546457409733599,6.711080526439462,8.114594842569172
13,0,3.6718038226380503,5.232084536494342,3.798162004901277,2.3717364649411237,6.675203743045378,5.266480667274074
14,3,5.363243000047896,5.925116080714468,7.25278239832962,4.112973930240715,3.35994844695026,6.195743993945553
15,0,3.453368241826191,6.225137963055039,7.346274761177522,7.863377365470048,5.195568922082678,2.2382717930447025
16,1,7.1329151778980515,2.6512515162715005,4.7955857577749645,2.151431512132308,3.2094719254548165,3.2075152237975892
17,1,6.782631300324407,3.585235317078652,5.029379123272404,3.308172715583826,3.397245748463322,3.4600762657831265
18,0,6.223514310052406,2.168670093139911,5.341837856500709,5.241399281356397,5.646242710039727,2.3148706630344797
19,2,5.247875609364687,7.786212735728764,9.042204672056908,4.713557716401711,10.68985592473775,5.398588588344891
20,3,6.090771223516917,7.784325105812554,5.099437373209111,7.516827996515609,5.0000948952068,3.01115417856909
