T,FC,x1
1,2,5.304711100657524
2,0,6.349252992360375
3,1,5.395551599566339
4,2,3.8902703980148776
5,1,2.2929949704745245
6,1,4.032596453561843
7,1,7.751726720309076
8,1,2.492367421476625
9,2,4.591631326947248
10,1,3.730148080206807
11,4,9.090190561594097
12,2,6.170049032648276
13,0,9.259850814951779
14,0,4.725303148361221
15,2,5.0464517311902455
16,3,7.134364813967636
17,0,6.2118547733380245
18,1,6.566446907013319
19,1,7.45144941426541
20,1,7.0033926714696655
