T,FC,x1,x2
1,1,7.854404677872145,9.511132723410931
2,1,8.63200212041826,3.0458256776320263
3,3,4.049126948114737,10.411544982528607
4,6,6.053131043155645,4.094955959061951
5,1,5.6672198498811275,5.1901242485056525
6,6,5.466338644996412,6.065211554490998
7,5,6.235926979669514,6.103083731998289
8,8,4.3335819955198644,5.411160917925048
9,6,3.679817418651517,7.201369802304074
10,2,3.22873533689255,4.010979006025569
11,0,5.901176118046567,6.762304139218446
12,5,2.2106278917265656,6.524188306092315
13,3,7.165913182531679,4.991577993271392
14,1,8.305550342273907,9.191792269064116
15,3,7.485979623209828,3.2942633464437057
16,1,3.089135794676239,6.277102832669296
17,1,3.0336782399884967,3.9265859382131345
18,3,3.1125500697225124,9.5877636061359
19,3,3.2299585837362526,4.1645735946482105
20,0,7.015148535335538,2.3344756750727216
