T,FC,x1
1,1,6.619294180685397
2,1,6.191830849064847
3,2,4.655654586582984
4,2,2.9677170558775687
5,1,7.139495428530324
6,4,5.879845209586853
7,2,7.024414781670948
8,3,6.3609536505870725
9,3,4.923181885358991
10,3,4.529503599860497
11,0,5.443462425679481
12,2,6.086544535195853
13,4,7.097580513836112
14,2,4.282682746076549
15,0,5.438598242849862
16,2,7.05928460790539
17,1,8.22046757800621
18,3,8.139070842498485
19,2,6.03074771164946
20,2,2.3365491518300203
