T,FC,x1,x2,x3,x4
1,3,4.188954261517102,8.371310161161343,6.0384997162481975,4.807099696460311
2,7,7.5660983138090145,8.476466082009441,3.625671079556348,7.6842094380969295
3,3,2.2852617086014346,6.611162357144576,4.419555350108597,7.337411450791876
4,2,2.2236143337048064,5.119399088358308,6.053651968326999,6.546297438110027
5,2,5.9116532539626245,6.164937639080778,2.430861955724104,8.138370300531921
6,3,3.446370496722273,6.707708938312802,7.555546909309264,2.2091320473096823
7,3,7.311936785019784,8.160348505609818,7.418135593311571,6.955568585682425
8,3,7.3740042354191475,4.1217760333276345,3.781161433414044,3.2114093049964403
9,1,3.2927858874663363,3.3369261757322373,3.682338073560458,5.241127416828683
10,1,2.2056500209315852,7.9918405972467745,7.405736686985174,6.254158855452096
11,1,7.112307990262189,6.066744956928355,3.713180105304697,5.406409143480944
12,1,6.11042219736943,4.208972830875531,2.721884525499762,6.201671694687545
13,1,4.698771527501612,3.453194211167358,3.613850459310166,5.958171897248167
14,3,7.525804748082594,7.077167165651236,2.7350170102530127,7.626975694619971
15,2,7.0191002545337895,5.87729946673026,4.1616520201869545,5.269857626015263
16,2,6.078960629185229,6.919451963860785,7.243148014805198,4.749541483921766
17,2,2.993556789058823,3.09791950997001,2.3147995190045583,6.088284394967491
18,2,3.4671476815815065,3.4331271983608915,4.524241869855977,2.2504624710856342
19,0,5.203159561574179,6.312302170426244,4.410243186699834,7.167566667552723
20,1,5.482033288403502,3.522679517235977,6.108167336143647,7.871532957916956
