T,FC,x1,x2
1,4,4.279609056212165,5.31018095185213
2,5,5.360525012289999,5.890416355127976
3,3,4.969230540169218,2.4433363724674524
4,8,3.9136883274215224,6.188238533425915
5,7,7.205119669743453,6.5392958103791745
6,3,3.080724656998699,4.000885568305636
7,4,6.1059267478813,5.92230344806607
8,5,3.6054583542183867,6.019479843289213
9,1,2.223349595600172,6.797956156359724
10,2,6.608918982839596,7.598484132525742
11,2,7.7807023285708965,4.570732133162407
12,2,8.411154759061244,6.383922113695965
13,2,5.075317900601539,8.050362443546414
14,4,6.528962534429537,3.034093717448383
15,2,4.343197380596999,7.266356557636666
16,2,4.894683469486841,5.4075314776659305
17,4,3.406953164068736,2.6332280629573592
18,0,3.1559864101353607,6.834237407309748
19,2,3.4747649991448397,2.1171870460235476
20,2,5.66253301184795,7.707682488804979
