T,FC,x1
1,1,4.16148536229064
2,0,2.4494482763075793
3,0,5.3467140918311875
4,0,6.092587225137298
5,0,2.9054507216037573
6,1,4.532557929921952
7,5,3.4357343810857373
8,1,6.2827027737688255
9,0,7.632507038245101
10,2,7.056432340203896
11,0,6.3982540908000605
12,3,2.586923996200287
13,1,6.517384613638264
14,1,3.7041568180572293
15,2,7.637538165200627
16,0,8.510749759163366
17,1,3.5179379878409054
18,1,3.542626579864365
19,2,4.3617178822609635
20,1,3.0037272617582147
