T,FC,x1,x2,x3
1,4,3.050496076644763,8.730039870208813,3.2268385341584778
2,4,5.171268113077626,6.427787637031448,2.8607280931574657
3,1,5.675029845840659,5.965045241416115,9.845160382074393
4,6,7.450792402827443,6.383086520019266,5.5792570211914505
5,4,7.702771992041092,7.005353027765466,5.5062784725129355
6,7,4.940762942796535,6.7815331976504645,7.282362534389629
7,6,6.39246601821447,6.84295394783779,4.082634792172641
8,4,4.873307938193301,5.186210217494361,7.507380257368414
9,3,7.191459361807316,6.58910426433974,6.3540948623635085
10,4,4.8438971497518795,4.418055790151682,5.579928182246265
11,4,7.666895385008319,4.836531581908093,3.2458505747341806
12,3,7.0089872412117,5.723312653815991,6.44760530964877
13,5,2.8432924211575905,4.349962884223031,5.173767018455848
14,4,5.065809575811612,7.713908432568902,4.879441222140197
15,1,6.285199066265787,4.273078462281054,4.989220547530015
16,4,6.027638601852544,4.863464719136505,6.363082036132112
17,4,6.1583109282706365,2.826727910214382,5.442659511155338
18,2,7.0603309143977,3.9694985299511236,4.039454931916935
19,2,5.457456875356419,7.0736092006343805,8.592986228402408
20,0,5.0193464198303435,4.163089311103031,8.605185483376232
