T,FC,x1
1,0,5.009788638681225
2,1,4.7792356099870235
3,1,7.249737454991791
4,0,6.891605685781622
5,1,6.058533032487956
6,3,7.514450813949955
7,1,6.074195373535933
8,0,8.179568055204106
9,0,5.61655006134969
10,0,6.73339549847077
11,1,3.1711841319503287
12,3,7.761726125046996
13,0,8.986639996262003
14,0,3.661224440127849
15,2,4.3891927646817415
16,1,5.342493175305481
17,3,4.245657708775096
18,2,7.7473073474063066
19,0,6.314314460004926
20,2,7.311413860741023
