T,FC,x1,x2,x3,x4,x5,x6
1,3,6.561684078835648,5.379503908935385,6.399010201874199,5.716149232929288,2.20008648693854,7.3858798798969065
2,3,8.53729382480005,8.713476010783332,6.053716120219154,6.199903632911068,6.33519014202679,2.2282643900990546
3,2,4.745633473635956,3.127833714730749,8.440534501623333,6.024958536542683,6.289563349669302,2.805417175719505
4,1,6.818522809076225,3.9138538720803124,5.392261406129365,7.836965070512036,4.329377702866548,2.1781100524564705
5,0,4.504273542733595,5.383417523552736,2.1267823243410193,3.0595458667573947,3.6608886373869387,3.7549700524874527
6,3,5.396177297008564,4.085735618599456,4.888278325803267,4.263253594445818,7.197606358432635,3.209698792679528
7,2,5.466369965225607,2.437865181444961,3.7822603308508254,6.4262622314087725,3.0633289848782423,6.27877319374238
8,0,3.6144639779549057,3.751933065863216,4.520946936132498,3.9193164289950264,2.4125015817187507,6.258902782973704
9,2,5.544061020069671,2.2616030219233094,4.296176664560409,2.3380823862956177,7.417046857076759,5.929013723300573
10,4,5.43260335781522,4.340608312312614,4.538220891546301,6.372581905585549,6.905460434823455,6.081967527536214
11,1,7.153004790407222,4.1417894588118775,6.664486050505669,3.8416852915043833,7.452774103496458,7.472921067721655
12,2,3.1366478097955155,5.03001738325927,2.307965253508524,6.501084445338444,7.065860018388007,2.0181821088827485
13,3,6.77145637560067,11.778843048265017,4.315770602301194,6.102918978736075,7.006698904989181,7.793448111430294
14,1,4.843838245372323,4.528717978045604,2.3898994157958016,8.004807405853477,3.457903748842238,5.044791647666215
15,1,10.158473114997868,4.761482113693491,5.546665985948723,6.241858866641364,3.7983122543850767,6.196173954003426
16,3,8.067835533685717,4.455669377282374,5.133824597395477,7.211964233915563,4.787290594408079,7.196635536466996
17,1,7.659162242868838,4.423734077397969,3.9554219884039155,3.311497731703194,2.1027242186224817,3.366363344290283
18,2,2.48523129529674,4.693255229985928,4.498340855092132,7.887792621519413,6.906401880024078,5.204495135509714
19,2,3.0932810761827074,7.526681194716591,6.542710781497292,4.075858275349116,4.6501129618382,6.517365981466682
20,1,6.45786753524579,3.925408520334598,8.501286544698942,6.267453080503988,4.270110207296574,5.337346272575687
