T,FC,x1,x2
1,3,8.535121478016228,8.470971717447883
2,55,2.351847200368913,7.465249851015839
3,34,8.694336405149814,6.625835739573788
4,7,7.79399799307712,4.249295844245275
5,2,7.200293887076687,5.935667309284357
6,1,6.556909504080263,4.089389459320158
7,0,6.031887313265766,5.061952744603371
8,0,2.9042370960797848,3.310411164808657
9,0,4.9949644125851185,7.611864545571013
10,0,6.737277619615837,5.125875600694458
11,0,4.842099486895154,7.073107967043678
12,0,9.278668970506976,7.899654830822779
13,0,3.161513270088731,5.498626103112293
14,0,4.341538278571521,4.54454102052828
15,0,7.1260460969751085,6.033870828453254
16,0,7.954098666106108,3.3818154091873946
17,0,3.154020179800269,6.73089947097254
18,0,4.451300301936458,5.359727991588608
19,0,9.046965432814453,2.0654435811703804
20,0,5.472629681381071,3.405032496067046
