T,FC,x1
1,2,4.931399675552933
2,66,3.0228493035805633
3,33,6.430569513579835
4,8,2.942800655812963
5,5,6.062443517464172
6,0,2.94502432161737
7,0,7.83910665464136
8,0,3.2733576605525867
9,0,6.637145012416298
10,0,7.408319078521716
11,0,4.71448054628119
12,0,3.5714369641839165
13,0,7.914248267528419
14,0,9.51288613592195
15,0,6.894543321153563
16,0,6.826848531850143
17,0,5.482382311429876
18,0,5.247021905610987
19,0,3.5091265998231114
20,0,5.895076746503973
