T,FC,x1,x2,x3
1,2,2.044820500873497,4.520041347359655,7.563387025461564
2,1,6.47612290620398,7.906998443831256,2.729924627445264
3,3,4.092323403543468,6.719954717362992,7.534552444351347
4,3,8.250348868503929,2.5388730145343645,6.033789751137677
5,1,6.098631934536801,7.927093487050962,7.353892735588022
6,4,6.409247886490385,4.64658627406333,7.043894371369726
7,4,4.821509511288143,7.924675282091704,5.8727832777925215
8,3,6.170583741039466,2.175929637700694,8.634823229595694
9,3,6.097903187679084,5.70897473266566,2.3644284755328444
10,4,7.719537981904938,5.170450860328334,2.2060887490708248
11,3,6.173325033267593,7.298022421341605,2.3581286642683197
12,3,5.247574406620683,2.2723227784636157,2.656788899109645
13,2,8.260148980887443,4.609010028626214,8.207189963850073
14,4,6.209080387718336,7.608457938272108,6.072089967952232
15,0,4.54753339076556,3.117430892945224,6.945444379185621
16,2,6.218967313929898,5.279486495522514,5.319582298687087
17,4,4.770957774631445,7.53647343225896,5.629298455944381
18,1,6.904196792321289,9.516055850519654,7.395419450472918
19,1,7.748252877013674,9.258601629883191,6.351497163202819
20,2,5.729118665224368,3.7766659849319333,5.6369067324374145
