T,FC,x1
1,2,3.099845859428924
2,1,4.545504987736269
3,2,6.088466693739639
4,2,5.657820988865231
5,2,7.829245479742952
6,3,4.686599119117004
7,1,5.484548159446735
8,3,10.034993282979727
9,5,5.218460723782583
10,3,2.2462021598755144
11,7,4.18309815071334
12,3,6.820089090548728
13,3,3.6820769314851995
14,4,6.081858725531568
15,4,6.657679139865649
16,1,6.3004252166703525
17,2,6.731911667413494
18,1,6.422487680466703
19,1,3.219397963644318
20,3,3.1256535515621233
