T,FC,x1,x2
1,1,4.115927951604212,9.278066796320196
2,1,3.6396540096949197,4.937312970185395
3,1,5.821770887826042,7.2515182075918165
4,1,2.6216097679921564,6.279961172733944
5,3,5.250754867059434,2.4215711303708183
6,1,6.307297843529869,8.618684998059845
7,1,7.832983340044297,7.548803028706857
8,0,6.111627089913602,3.7125105205857034
9,0,2.183337776367849,2.3013766825118505
10,4,7.938624913538447,3.892569080516103
11,0,4.301629500163189,7.693531192763686
12,1,6.009660964579606,2.523551985073782
13,1,3.04219799404651,5.317749057477616
14,1,2.587278198116521,3.6725328407461086
15,0,7.125798842314837,4.294454153123447
16,1,2.3460393957612085,7.989877911770772
17,0,7.7149968901543,6.536226175320962
18,0,7.3791146649787605,5.118251394699768
19,2,4.35575015910257,3.9262854876945683
20,1,4.126226058102582,8.016585692131715
