T,FC,x1
1,2,4.782244919779216
2,3,3.9487859895394513
3,1,8.068740103119081
4,3,2.8579596574371164
5,1,4.403415074633281
6,1,5.08537834005705
7,0,5.249289828283658
8,0,7.283503919181506
9,4,4.625154209498562
10,2,8.38873991667014
11,4,7.23791489930755
12,0,6.4840326337631335
13,0,3.3022097709877487
14,0,7.3383287617501285
15,1,2.4708072377063868
16,2,8.583847484627313
17,1,4.114381798383432
18,0,5.138895919631044
19,1,4.574306321133648
20,1,3.839873840866001
