T,FC,x1
1,7,5.107786246438783
2,2,5.5915639031155875
3,2,6.257329150213823
4,8,6.4541037041341935
5,3,5.268254133406104
6,2,2.872595446325741
7,3,5.5526468451182405
8,4,6.348803866012717
9,4,5.081755080108011
10,3,6.422398938661727
11,6,7.171009376661497
12,1,2.022926866527193
13,1,6.242791718289459
14,3,2.069413195903617
15,0,3.254634376032747
16,4,8.07734931331425
17,1,6.093131160409436
18,1,7.68063661004531
19,2,3.7214561454058606
20,0,4.9520135800708385
