T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,15,3.913183325463385,6.452029248046827,5.951597219053689,5.747672569582763,5.6589329249368365,5.036872401173677,3.5018423442618927,5.028611623042111,7.188175127850239,4.667384761359677
2,13,6.570592863078705,7.703617659501626,4.199122804091368,9.062139294510608,6.8345448938242255,8.326739275819904,4.8365941692168,2.0826084365424613,4.906097858654963,6.040403959952175
3,8,7.770208093222646,6.338546665195309,4.628200551081991,7.056065719166797,6.547328476490869,11.022718396795055,4.80498536452145,5.7067893425746865,3.159798946941605,7.939925089331311
4,6,3.3025409366507756,7.486081577616346,7.051689240919613,3.4348065441823934,5.991564380525336,3.7973517913296106,7.396030827872279,5.937236933158284,4.374633062774851,9.227082780656968
5,5,3.1000121236407767,6.613257581083116,7.608728175919817,2.205598276249279,3.7634501705481718,7.742133552736132,3.310860666376856,7.050784069251242,3.76777842429636,3.460711861832513
6,9,6.601106309241092,5.761220900889466,3.1341106381891572,3.2293904463157825,6.044815423220031,2.4713311759598504,4.774098785559744,4.15321592942115,5.559196215472211,7.165132797082353
7,2,4.276326377716572,7.988717016756797,3.3343488450804886,3.8152154486125296,5.0087656372283975,7.715849788374453,6.137678991005579,6.812943202417189,6.032110000976246,4.105718376563416
8,4,5.38069262292098,5.773236749641175,4.012523206755936,3.0778901352714403,4.379593806450776,4.2958282599735345,4.922255248380781,2.5402099371418907,4.405848236826499,7.989990980500375
9,5,3.659781735719819,7.6411732894080036,3.533160145440026,7.902980126110445,8.329991964341431,4.161666191623309,6.641040851171694,2.698989335040902,7.937443375045495,5.187984471310263
10,2,6.060152274183871,4.109973169791605,7.723330473763076,6.290886174378188,2.0401639388677117,6.265708822981685,3.219405105073387,8.654913506330978,7.404063760232902,3.907059823473359
11,2,7.328419806164676,14.302148756905707,7.914422900657136,7.684632022779833,5.64318210016938,4.0267629320361635,2.221384562608137,2.150690170766738,7.105079400052376,5.350757082445427
12,2,8.058597339232929,3.0902432205460677,8.209613459307832,3.887116598108107,2.2706212685225027,6.237528616128981,5.243557026135937,5.2056682497367985,7.027864184247856,2.0112638582833045
13,2,8.029951432719086,7.362714024316091,4.0554460693726675,4.632447140626815,7.003911746962185,3.1786842031809224,5.116075127262998,6.267548623070883,6.699026106798361,4.0953388191430005
14,0,7.848533896119105,5.1850190900223865,3.479090339627623,5.492928580613006,7.319684088946648,2.0654097178895996,7.654991668355653,2.0802840518225114,10.101451752732387,2.5654163278035322
15,2,5.2618534599997915,7.074451979524102,6.738220387500959,7.277188420374051,6.583501536569742,4.25698561403211,4.185380139105126,3.745020455361386,6.075601296854872,4.297962943255792
16,1,4.323577220284875,2.7689417776351988,2.385072639924648,4.319584073407509,3.289151614608432,5.255345466433949,6.411363020801073,7.066758412203715,2.9766492946487055,3.125721649947685
17,1,3.259882811144417,4.479044061166024,6.088785470293345,2.103632363137007,7.626908523246988,6.02524756792745,8.895537865338326,2.0539141203932045,3.2624907166012833,6.480202621726912
18,1,2.8444906995505885,7.403506390701593,8.392493983363696,4.993685911804377,4.486525302508728,2.1263472459621022,4.574265103131523,4.0343791620903815,13.081597550170759,3.858290649002416
19,1,6.006617481503163,7.4678711960702975,4.054845000172058,6.579500592746757,5.0376733706817545,6.142606786484016,7.680025442738513,9.41304767845737,6.8369499240727585,6.307578023183494
20,0,8.108153066240758,2.06554838162323,4.338600376565672,6.3982745568658626,5.866617029087677,3.2677104472219267,4.081784715960816,6.237159722028147,3.1343347321669173,2.199073570838733
