T,FC,x1,x2
1,1,9.236493422586463,3.435992254342418
2,2,8.250938005334028,3.9038967124904245
3,6,7.410876888031109,4.841171354372969
4,2,8.92295244483531,6.4206683402294775
5,6,2.1533696073841555,5.17581307664115
6,4,2.237405595800124,7.063902391882796
7,5,3.144822530610292,3.935841792996584
8,5,8.123056672700047,3.7054922299290993
9,4,2.660889666909757,7.95541342046306
10,1,3.236337496181366,3.2185291639585665
11,2,4.662737795922234,2.573032550672653
12,6,5.11255615561578,5.604509015274883
13,8,7.1453393117976685,7.009397332133145
14,0,7.694279848550459,7.489710517835534
15,2,6.978007261904844,6.210445659466165
16,3,3.5191388023335866,5.81734347378788
17,5,7.704219757612071,7.366914744123094
18,2,5.6661739711586945,2.1614847530840584
19,1,8.236675828799951,7.180705702439615
20,4,5.295964715445031,3.441207650566215
