T,FC,x1
1,1,2.3885741841051527
2,5,4.506221656101588
3,3,7.280597632069338
4,4,6.8635685847371946
5,1,3.600757830303909
6,4,3.1330823817681477
7,6,6.376302218698269
8,2,7.1596613537258085
9,4,3.0166813817092946
10,6,2.2643067173475435
11,4,7.572076634902233
12,3,4.553210906138394
13,4,6.474739093916035
14,1,6.559816648677812
15,3,5.4328892403205895
16,2,6.786285067875441
17,6,8.94504648011727
18,1,3.0537540878475173
19,2,6.013769604087193
20,1,5.541228730541982
