T,FC,x1,x2,x3
1,1,3.527430402045926,7.651956971631467,5.667008359429982
2,1,7.852905543711433,3.325488885630042,6.021138748085557
3,5,2.0165811796581665,4.13936034941045,3.0446129300738525
4,2,4.160101703268456,4.1382383825092175,6.085085360050212
5,2,6.341648393579634,2.993929231911447,5.403118007947562
6,4,3.825079195674862,2.8415595964137013,9.031387302040006
7,3,7.340551903371662,3.6974089713089073,2.0658704767383087
8,4,7.173476021623586,5.510477756172081,6.481473175254835
9,3,7.231022920098849,5.916119716786097,6.272423907553161
10,2,2.465447796099291,3.111162848750028,3.636571335263615
11,5,6.02395805074581,3.540987163598812,6.252515902028134
12,2,5.895331391294436,5.619189510982832,3.586703694674641
13,1,3.6318552243243554,2.3726480221134683,2.7506120546163295
14,3,4.921018646448594,6.105031002108179,5.900964905856599
15,7,5.2101449933997745,7.703081607315307,7.089856871165883
16,1,5.203796526640286,6.499293521678076,6.383313561206136
17,3,4.925528970085914,5.329944805023513,6.494580671837795
18,1,3.137712585979582,4.995019876161658,4.24009947648744
19,1,5.0133801714644886,3.1060765833575914,3.1236295971002623
20,2,10.046999981546193,12.795654107345351,5.475359602992606
