T,FC,x1,x2,x3,x4
1,1,9.79835215431892,3.942512706412996,7.005383513866109,3.649854773307908
2,1,7.066336792139619,5.079137180556629,5.088940889872522,5.4122338769145495
3,7,5.8171948710484935,5.2879104323373936,3.1573465414733186,2.150678025878424
4,2,6.850487854683511,7.275773502048758,3.760034281234585,6.718321471742374
5,3,7.105121615930917,7.103479255006924,2.0892993107517768,2.579010982446494
6,4,6.895040270613665,7.069202244903895,2.981635776186716,3.430791013736826
7,6,5.195330774165382,5.6039345666300555,7.549129290147334,2.466500492713156
8,5,7.278020167963891,4.459775724575953,3.0847923940675734,5.504244060391162
9,2,6.1611227766733565,6.016126512603291,2.1370600278812972,3.4816479798177875
10,6,5.1469595539263455,7.256212044610322,4.185169580812773,7.232885448165798
11,7,4.197743210978361,6.0878137654037845,6.14882568569997,8.628532038320241
12,6,5.4289886342309,5.572760298787757,4.208106844930114,2.1188278379715686
13,6,3.1857730313934507,3.941574491751454,5.4782964688150955,7.815225864568074
14,3,6.59747721062458,2.822347828330997,6.330648497412748,6.289200074551425
15,3,2.9455177419791214,5.231766481480441,7.322362148842141,7.573334777013479
16,2,2.1639485870511357,2.2692092194792464,3.2099591843544926,5.594671638633848
17,0,3.340175038066863,6.050541423118805,7.263125481184856,6.0791260933905775
18,3,6.094892915997024,6.32247855418241,2.5190919170605226,4.5021638871590834
19,2,7.658656872271219,2.9865683487469834,6.066143917805599,5.298041002763083
20,5,7.3031257452355085,2.1154816834509287,7.958094237598667,11.15623220093561
