T,FC,x1
1,1,7.233981787838357
2,2,5.020445022719381
3,2,2.4626137365917184
4,1,4.9681042837482385
5,6,5.7113772693364595
6,6,8.036035636928807
7,2,6.311038116235614
8,3,6.537650299540425
9,1,7.11232755407619
10,2,7.376428636277101
11,0,6.000101025797979
12,3,5.034357811893015
13,2,8.167561322520179
14,0,10.404184651711486
15,3,8.320508200188907
16,4,5.6863544555381695
17,0,6.697487092861898
18,2,6.140543595123724
19,1,8.068486267169874
20,3,4.930844156452233
