T,FC,x1,x2,x3,x4
1,0,3.653027643621429,7.598998405566296,2.002045502646328,5.098154346173904
2,3,5.3142733078564435,6.122991592617534,4.273699435883067,4.185553834016941
3,10,4.0500869381779685,7.519258037196666,7.566960474950479,5.512722773606989
4,3,7.640797752190426,2.1795945794723495,8.305110966928666,2.0868278804804956
5,7,2.744013407681565,6.459228692306832,7.326883682784215,6.681064462201119
6,7,6.900692430892044,5.00345769136152,8.255585714731922,5.458219069422729
7,1,8.33884678952378,4.575706211985127,4.222538827977155,2.162616833854006
8,8,3.186505622878447,7.985220871565005,6.795859389927172,7.158003228910273
9,6,5.552827644013924,7.143645135049846,11.639027712866634,2.3120631021849327
10,3,4.34381197488334,6.01495695847378,2.1090266135854234,6.1317142333742485
11,8,7.05935698148122,5.512224506494741,11.014403991660224,2.89063914366287
12,4,8.749902473375052,4.09868526383505,5.245624133531246,3.917857457507041
13,5,5.580120590199433,2.062921004901412,5.335587480432478,8.414995212964943
14,6,2.3870119902314197,8.51842062673416,10.792839538822948,8.43945443633168
15,1,2.065751415066759,7.357973561590732,6.7406085197792285,6.12580372250367
16,1,4.507326137626633,7.169862629500084,6.204930328598221,7.454561690531502
17,0,5.304152659187138,5.244462817225745,7.245895681620944,7.181697820512348
18,0,5.8169562011543405,9.43834280723538,4.254386162865648,4.662164320104211
19,1,5.165802748363917,6.277294148769858,6.854501994018909,7.791010957412872
20,0,7.4986501343916885,4.235021984649813,6.574141801037161,2.9445385046375754
