T,FC,x1,x2
1,3,2.459492396287091,2.500917590468677
2,0,4.125182990595801,7.2638843573056375
3,1,2.019999012120548,4.555738805724346
4,2,4.140315832815966,2.4368987339221646
5,0,6.214521493347278,6.146086590416632
6,1,4.470935129269423,2.2295665597401797
7,3,4.568720619050053,3.3566140511231692
8,4,6.73608211912067,10.211118782254415
9,1,8.821574491202412,8.770634833443687
10,0,5.296515606305996,5.260538064277597
11,1,3.6827220321526104,7.674715993615602
12,2,7.020715703515271,6.327990660988274
13,1,3.568033751150301,6.065106849101056
14,1,6.01630916085806,5.093559016197178
15,1,7.281021568930734,3.35487487809593
16,0,6.074443213070585,8.130280208100675
17,2,5.517568445125207,5.300293020005341
18,0,2.6696283312018085,2.469802828338468
19,0,6.962086927216417,4.315510007203066
20,2,7.58095517770641,6.384549637403574
