T,FC,x1
1,0,9.38294010239328
2,0,3.356895475596617
3,0,8.945964617674218
4,0,2.1491385162604626
5,1,4.762150490804959
6,0,6.517069675325988
7,1,3.5654843204900564
8,0,5.452561522725382
9,0,5.537900779779983
10,2,3.6203154345693296
11,2,4.900879109043061
12,1,3.013258575853193
13,0,7.108657421107363
14,0,2.0798357873105244
15,2,7.579110956869162
16,0,3.8444255095128046
17,1,5.066798200054808
18,0,6.534401273133777
19,1,8.653479671434804
20,0,7.120294651522185
