T,FC,x1,x2,x3
1,1,3.6409227895936622,2.6922304619049378,2.1952611507946425
2,4,6.112556262250269,4.927686816423851,5.895747785425155
3,1,4.422237726291064,5.936743379631114,6.404009315990792
4,6,3.0331931281024516,6.089981200861493,2.359476808187601
5,0,2.538086857643865,2.0103812909456833,2.7612669660598526
6,4,2.2473620986079057,5.148356980638465,4.348730764148578
7,1,4.36789535627212,4.461012886180324,6.1162527209672115
8,2,7.211939020693134,7.946631879673007,7.334871430318032
9,3,7.167418679424199,6.11293705160897,3.097480006219347
10,0,8.50047993913159,6.073194283537568,5.340458164963326
11,4,4.944427228497294,8.91118502834599,5.280261892497105
12,3,8.439738723406911,2.497647815844273,7.560905332599155
13,0,6.446060979768305,8.113166257882202,2.0005248460567264
14,0,4.213794094968899,7.608313439284477,7.412475011292057
15,3,2.4551856388017606,4.164551055288624,4.436024657042148
16,1,8.061062072460023,5.313346109715904,9.167973956930947
17,1,4.2079169970532675,3.4000499063561023,6.376353655624282
18,1,7.269799396583284,7.491169183995964,4.144182262758807
19,0,5.051698939527202,7.424011618490364,3.844686942219728
20,1,7.042714552211543,4.61808156313186,6.167712741623427
