T,FC,x1
1,1,3.016441083858174
2,2,3.000472157589191
3,1,6.724566609615234
4,4,7.075400729367219
5,3,3.113092091093933
6,1,6.150779954779103
7,2,8.549184328241436
8,0,8.660002829039568
9,1,6.9256123584659015
10,2,8.153788610541024
11,1,4.502171410932218
12,0,5.263891060947586
13,7,7.311719374164143
14,1,5.967679919931053
15,2,7.5665910961358085
16,3,6.346586108334781
17,0,3.2433548965504544
18,1,8.491323355040967
19,1,7.465026632085298
20,1,4.071160328906216
