T,FC,x1,x2
1,4,2.9179103511567663,6.485646623043719
2,5,5.494150513607016,7.503789321675169
3,1,2.2189879642946235,6.355915288526186
4,3,5.0716493885293215,4.159395484363969
5,1,6.0260206336799085,4.133494179565362
6,4,10.84470570075926,3.2319189057358555
7,0,6.471731828697199,8.193743110999113
8,1,6.1147369754081495,7.474739787435537
9,1,8.300103273145844,3.829304508158652
10,2,8.087968074946627,3.212946293218719
11,1,3.3854079409389897,5.670704654731404
12,3,6.358717769319035,5.291519403439812
13,3,3.3947143911524975,3.325636321010236
14,1,4.25598497783771,3.992251934373563
15,1,2.088597861746707,6.765035259589189
16,1,8.410473608847283,2.3443672305033956
17,2,8.406385300934183,5.0217021270008
18,2,6.308741609221403,6.404123061998375
19,2,6.031731829101737,2.160088106455273
20,1,4.876907401250274,7.271686083985823
