T,FC,x1,x2,x3,x4,x5,x6
1,3,7.242582397678449,6.0747650694362445,2.601644277402054,3.054294510174663,2.524766204153815,4.59172156082402
2,2,2.0717609261670846,4.853346982383941,2.176758872840279,2.4804716793941504,3.207824116143937,8.615465810423743
3,5,8.682643469257211,7.584578998373163,2.3227914948020913,4.021234661593549,5.035986356835786,3.1535501835088597
4,5,6.547034382069808,6.706714165588871,4.320055049277172,3.55340795234002,7.148718823921766,6.3358899417185235
5,1,6.044501320810919,3.076821816344718,7.890407768274329,3.104683400012548,6.5957060071291815,5.130765302693829
6,1,3.746991230521383,7.935012906557902,7.424462848649862,3.385185426955246,4.793502187420771,5.2084918516458725
7,6,6.7036823500570275,7.861634462604611,6.067770374038255,7.942736129663776,7.113412908438363,8.210503067770516
8,1,7.118793999808367,8.939657012766851,3.8655289531362023,4.156059952183497,3.812108569553206,7.74772719577801
9,6,7.211277437291314,8.790410913969906,7.3139369423568885,7.6957074688581395,4.469183672421096,2.5448965475805014
10,8,7.011012815602087,7.319774006840708,7.527691708534966,7.758886533076678,2.036996536121811,3.002545440831282
11,3,7.261829615864797,8.139956092560272,8.899392000608755,6.576095835551272,2.477714799590842,2.180863549032061
12,3,7.611349147070232,7.01380682506785,7.542395253167336,6.151947922631516,7.68476655280864,4.902056305461824
13,5,7.0163935767134085,7.710274608870563,9.921484859919532,4.520127176747346,9.42916257778808,8.748848746863917
14,1,5.596681479171868,4.974996597294867,8.952780500919207,4.7779636856212795,7.072025559270722,4.076729447062796
15,1,5.249634088967344,9.270710244834756,4.6722765013156025,7.261329486680673,5.178204587505161,6.485682817085227
16,3,2.2249809216752503,5.265321301257699,3.1522107308549723,9.65883263248615,4.827137634063828,10.395265819106974
17,1,3.6968818831283485,4.154270985321137,6.310537439041435,4.339813497175411,4.384931736381146,8.407419959921333
18,0,4.04981300297315,2.1427113632087065,4.055160194710616,4.729125311716224,5.2580432239245765,4.6705340005760405
19,1,5.820428435811816,7.412650585773369,4.2296156801628255,7.2580398076495145,7.548730294333321,7.689912117444635
20,1,6.9687046585878045,7.434076198750529,4.379643167553158,6.723943402280177,2.1432036962959953,7.969563407223698
