T,FC,x1,x2
1,1,2.222056526927634,6.29221753451267
2,86,5.306510830376452,9.297773980907355
3,21,3.5002895222730466,5.443986133394472
4,11,7.297620909437119,7.4168615753149885
5,0,6.199375674962498,6.313451375986361
6,0,6.1466804201229746,5.162732207792928
7,0,6.312928521704527,3.475916243042757
8,0,4.611574614989226,3.6158173188837504
9,0,6.130002528235206,2.9404993930506858
10,0,5.06570619965823,2.7094423014046587
11,0,3.2494708987140584,3.5460424282158494
12,0,7.538747075312925,7.125003490009889
13,0,3.329713786779794,4.5250271124881
14,0,6.392677795877283,5.510710520814757
15,0,9.056879489516913,5.017311779002881
16,0,4.427606813169096,3.8203530431219175
17,0,4.031899684399942,5.6291162853954795
18,0,7.177132496102542,4.244418437459465
19,0,5.512708990307845,8.216646744505807
20,0,3.428520896512764,2.6488995625826144
