T,FC,x1,x2,x3
1,2,3.4713069696317147,5.116361807700172,6.301668295657429
2,0,3.0517483701096157,8.12428357063929,7.219254722624091
3,5,6.294378775277721,6.677683151948256,3.015959289997897
4,0,2.136878600656614,7.1268788340759075,6.342144965523656
5,3,6.228556856699022,4.242553149767225,9.134731149876385
6,0,4.415326686534471,6.176312599885569,5.7657357614869325
7,4,2.851635605793639,7.071460822980067,3.6782903779372362
8,1,9.324380854432873,3.027243886111163,9.100744056355587
9,1,2.465623706433136,5.819782082856054,5.3019041701229375
10,0,2.3102177198851916,7.335101093745449,2.7294027779628003
11,3,7.469240512718272,7.513342940213124,8.470592747233018
12,2,8.368394826759474,6.276676128729726,4.3017854722271105
13,3,6.230083597997693,6.946371673733851,7.035054005654266
14,2,2.3527393035329847,4.346318459314731,6.274700231340938
15,1,5.053377017444859,2.2662090316171026,8.134867207489474
16,1,8.048894674415267,6.506934648785512,6.462673604163679
17,2,6.51511510697831,3.3571571398514473,6.6921032831746645
18,2,6.122052223408803,8.465023505781398,6.051432797416464
19,1,7.022159069375647,4.303091230238957,2.816501895243145
20,4,7.394736092541809,7.721751159603162,5.816485370037192
