T,FC,x1,x2,x3,x4,x5
1,1,5.984599834962837,5.672517802158629,4.162172530560096,5.281371804569267,6.7682391967525435
2,2,5.24232798572697,5.446265015772365,5.124538554653782,7.286423127898431,6.140445992225466
3,0,6.066692245696966,6.217533766105379,4.183548781000865,6.373564863682008,6.451482035493808
4,2,7.424129120074049,4.207339890567145,7.184742534246241,4.785217325760033,5.523421680621036
5,1,6.284507881890394,5.176181162019838,2.1386481816428664,2.5383628257726456,4.885637933125585
6,1,7.121806244347527,6.804947997522662,6.712787948870523,6.036629334723479,6.735258890175535
7,0,9.05262017971386,4.248236438053831,5.810885976992693,6.559876815533257,7.6205789686006975
8,4,2.784596326427913,8.615343204488045,3.605576512332013,6.697655767280967,5.255516319541262
9,7,5.169648725817252,4.21795738883263,7.011555827588791,5.281848508426431,6.008173115397622
10,3,11.09395126349511,6.768796981470652,7.372219557585252,2.272675014617928,7.7793679386019186
11,1,10.685110538777744,12.886634240272201,3.8430890637895176,4.795269698332344,3.870573325525364
12,1,3.3094786008515635,5.209198708116174,2.3007991870068425,6.346999996547988,3.076445423699179
13,2,7.646973636885632,5.0999868526460554,7.429400391708085,4.06786786287821,2.936746329250095
14,4,7.112172867204533,2.0445473903067133,6.167032938411218,6.160972085306267,11.71651253319984
15,3,9.09308499006357,6.144128112464407,2.0076793863206923,4.1396516707859226,3.605559230999992
16,6,9.0548638460617,5.080544328791303,6.5803089338923675,7.4946706566730885,3.2954335004462054
17,4,9.599640707198255,4.755936216633349,8.075124389148204,6.253707186594119,7.708219656875158
18,3,5.680662625559263,9.606615090247004,7.66818276361273,3.406965747402219,3.3857016934349096
19,2,7.245721968752474,4.0856234279926555,3.956600913251715,8.38711392621884,4.1240051958889
20,0,4.43673151318036,3.449162912411052,7.016789921938148,7.999125677449913,5.157583685034436
