T,FC,x1,x2
1,0,2.04159373154031,3.1710430786416914
2,0,8.310119119229554,2.3430612676410827
3,4,7.851096659356078,9.37859595241526
4,2,3.202356381813454,5.507708999149071
5,3,5.226609105874353,3.0741627402533673
6,0,5.701675722154158,3.5469075551112006
7,4,5.138120599193643,8.421673605481432
8,5,5.979766433017932,6.45644340909393
9,3,9.03147614523896,7.382728146408425
10,4,6.236098486685735,7.016658420526895
11,3,4.328066603014163,6.607271975855175
12,3,7.690076433284184,7.304683632541087
13,3,5.221038687089904,4.151800923241088
14,0,6.780883163399528,3.210929577805152
15,4,5.889085550493478,5.104607069006487
16,2,6.352920281411692,4.790272646737514
17,1,7.493274444767033,4.164582636635173
18,6,7.185597363414094,5.817729933508425
19,1,3.3015567330925766,8.516246120598119
20,4,3.018263861315967,3.1335106303950573
