T,FC,x1
1,0,3.7331773687933953
2,1,7.739934364033662
3,1,2.2313166757202736
4,0,5.261677435047155
5,0,6.665961964581365
6,1,4.12284219108564
7,2,5.808346649868109
8,0,4.200373280445132
9,2,3.0367280503171727
10,1,5.14795479874498
11,2,5.245009990118402
12,1,3.2531382452501902
13,1,5.860324285588505
14,3,5.188416375679198
15,0,5.398136816902805
16,1,2.60089154599122
17,4,6.490559748379985
18,1,2.329571027081617
19,1,5.5633558941507495
20,2,12.332018162029911
