T,FC,x1
1,0,7.915586292073953
2,0,4.23627059669444
3,0,2.3394304554565224
4,2,4.131935040662695
5,0,5.819914533134599
6,0,10.714335355019301
7,0,6.329930881415133
8,1,5.0200483184238065
9,0,5.364575696455908
10,0,2.862191832352231
11,1,6.050529248647971
12,0,6.403972026238286
13,1,4.156268345592012
14,0,2.6167111484592898
15,2,4.861855471055218
16,1,3.002787382377475
17,0,9.025389740953237
18,0,6.811960464374652
19,1,8.10694041658742
20,2,3.0844217711767734
