T,FC,x1,x2
1,2,4.322978339526595,5.828491691721531
2,96,10.219348587771565,7.5613546701341665
3,37,6.723651094809667,7.260174819906345
4,2,7.839230707093674,4.652007982146662
5,3,6.423675516356019,2.3875818391912653
6,0,6.779947487541541,2.372109066705383
7,0,4.016821816194252,7.600171992734632
8,0,7.174149671072071,5.357555329680074
9,0,4.73729940132029,3.336385992367844
10,0,9.475062140335103,2.9323675925467914
11,0,3.4859144677844554,3.613542953096236
12,0,7.844633967231047,6.1396573137800745
13,0,7.320897337596421,5.985601406409907
14,0,6.182534324314139,7.188640890535776
15,0,2.9218273337641865,3.8887233381802986
16,0,5.20343715822121,5.962081062033594
17,0,6.189622533129871,6.403898059351367
18,0,6.656825021914596,6.033637424130566
19,0,3.0706627535045703,7.536607894434546
20,0,5.588087833405989,7.577234467966051
