T,FC,x1
1,1,8.298254243586872
2,74,7.060886086913871
3,49,2.195949749599507
4,21,7.754679018472299
5,4,7.944543930770522
6,0,7.428281958174579
7,0,4.785803128394236
8,0,7.984169997474682
9,0,6.968162996825945
10,0,5.192335614146072
11,0,7.081273486408216
12,0,9.668075492481943
13,0,5.803276947327658
14,0,6.464849085904944
15,0,7.890661713689841
16,0,3.908372305807092
17,0,4.9297849573272945
18,0,7.75291056214124
19,0,3.586888295711697
20,0,6.124277124851983
