T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,2,4.575754144366193,5.643693916968892,8.216534843354143,2.3820561704203027,5.995731675918838,7.281459192267743,4.833204150929992,7.550141525155141
2,4,5.380323928663211,3.5912742903934127,9.844842100553041,3.0195200527400083,7.915340940282601,6.343436185458414,3.4715266775132747,4.259391183013131
3,11,5.38736270517505,4.5793184614170634,4.842505713172231,8.771658756730814,6.141997778043118,8.992490305582766,8.185546914965109,7.10352712820934
4,13,6.34633251788708,5.061964898892696,5.79716141035699,10.178988680775596,6.896469521859684,8.190627635045823,6.558878869525347,7.5751772560654205
5,8,5.056986490373946,7.260977258308452,3.8285247561465106,7.131023404036705,7.126527311442378,7.252001282992632,2.6020153644545787,2.817567018693568
6,6,8.475942777332708,4.524073422435734,4.220327755880463,3.4901105998079505,5.322620361756583,3.2490094379939354,4.309998157018421,6.082837497284575
7,6,5.174564705271601,6.067418804847622,5.209150099817703,5.628517604832122,4.415607466474298,2.728784222754679,4.303241955125448,8.747973511285737
8,4,3.1547062572665148,7.28282317665493,2.6847557748675284,6.193653516385351,5.008082902919936,7.1918084442349155,3.932478840337547,3.354878391505179
9,3,4.838780752547816,8.123729353662908,6.594373419892429,6.839786994764921,6.119242552824143,3.0107536438045086,7.770795159551762,4.45576999030486
10,4,4.7522898025283595,7.509976468810189,6.309893755358518,7.194320313934468,5.068379125844271,2.5141104132929373,6.369134614639061,2.1939897353416926
11,2,4.9561802772699135,4.252160026182094,8.320436893120801,7.3087780142685,6.34293281434481,5.394495577624021,6.397971511675883,5.048817693825362
12,4,3.053510106027355,2.881829341296194,7.081046936904784,6.345167479734153,5.054399847667814,3.490292063483966,8.937398359530821,4.315278820222225
13,1,3.536707287198139,4.4075791964697215,2.109821695244223,7.131451586667725,11.459352260467316,5.018637086356363,3.6377456650273254,2.244600779237303
14,2,9.523360991772343,7.339518466774555,2.366323226067781,8.469239646303135,8.283490914642643,2.617409915606836,9.993100354463765,2.265905539383341
15,0,6.710119892312584,3.8708674456491154,8.354631589415085,5.2839201508682585,3.2374786013136907,2.772198847860588,9.875441654925698,5.811203886676944
16,0,6.043723604254005,3.2032448888712377,3.152467182117528,5.052994116264395,2.189229865410018,5.415620133760907,3.128489355100834,5.622631776697196
17,0,4.37319028303757,5.371248673921617,3.566771063314812,9.088448683105698,5.030183725255261,6.7034516836313065,2.899164653582522,4.747941431547714
18,0,2.184251329562921,7.358183347178084,2.8132488950040573,9.250720102901697,3.109860846633667,9.189087331354461,3.6851302861709376,6.834042322967105
19,0,4.369131716539943,2.151500079955616,7.671821046046062,5.61288397396098,7.438548722421561,3.824545950614145,5.990086104191729,6.5577249118918735
20,0,3.1756651593080516,7.203175676567846,4.538276831329135,2.5543020231716906,2.448895143798828,4.657043429166007,6.241496011093041,7.146232087827418
