T,FC,x1,x2,x3,x4
1,1,5.648045866301413,2.084455250559618,5.036075141323889,10.62826808066926
2,3,3.546201896398816,5.963821544980043,5.993201643055405,6.543417913648031
3,3,8.058096390224787,2.9416615173039933,6.412961047951598,3.268843065729295
4,7,6.505389674989112,7.698137293007283,3.338236749040937,2.0372140688409015
5,3,6.041561562827468,4.408222707613028,9.732473941764606,9.68452227841223
6,7,2.074978011116873,7.893720170915332,5.1662898424626515,6.046430557567932
7,5,5.100720539378997,3.053960494587691,6.767435585323462,6.144852461505355
8,7,7.283675245453189,5.167827097146058,7.454839844220247,5.951133930834425
9,8,5.345257673251802,3.9343684586951513,4.522536977599936,9.62465184509274
10,4,3.456102538049467,7.047422761396075,5.455161941865221,5.909141148713811
11,6,4.088076410549415,6.274467160773163,6.974807832755231,7.299511552911851
12,7,5.588264967315327,8.505868422248216,6.0814560610400505,8.290521456608658
13,6,8.016706598553023,3.103398935246569,5.120239826412067,6.577210343644666
14,5,6.183552182686572,6.8729672866390175,2.334342779339629,5.595238882198837
15,2,3.9992757466232387,6.88354113424803,2.2512002581068646,6.668867353070412
16,3,7.9196323650582645,3.1256226387536925,5.006251081715062,4.915794295217548
17,1,6.550187481515346,3.2706763740854656,3.955216965244806,4.201489316047554
18,1,3.762582060037415,12.167821761516908,5.409699744568663,2.4962178820680725
19,0,3.3238647906454504,4.617969515895357,5.463216821321871,3.376688991616922
20,1,4.160813305652255,5.67978421831915,6.406092526991245,7.91368599108962
