T,FC,x1,x2,x3,x4,x5,x6
1,1,3.1214861422571394,6.027466596771275,6.70541802524766,11.277453716256169,9.054853055574078,2.887483620083061
2,1,4.270531959079086,6.3496400160706346,8.59252926543162,3.1605485537075544,5.096659167138831,7.219912709518511
3,3,6.64085941803468,3.413930832164652,3.318564208298577,8.614111199391779,4.216546238828658,4.018539757644613
4,5,7.2680805756779945,7.681708235937186,6.941683621833696,4.2463207633869455,5.032541857882063,3.0881734684637254
5,7,4.912427276291622,5.485441713395687,2.4669025617736233,3.380604332087413,10.328576462073675,5.662549618698812
6,10,4.4971980003663505,6.362536024268912,9.554225094493557,4.664982393109931,7.780443313088485,6.9327021449579895
7,5,6.029670810877241,5.371680701070874,8.271846771842121,2.5517317107321573,2.850186020313024,3.2318251862265606
8,9,7.828449973793008,7.001008239656954,4.846399037858614,2.204473603782733,9.660615578637364,6.5719059296758955
9,10,6.6253950456961,2.1047368538171782,2.171990466913217,4.449218512091707,5.9043414777968195,4.73174845463879
10,12,3.2005394903657978,8.373693991352392,4.540886719498552,2.2753741670265137,2.0152028811076583,4.131749679813127
11,5,4.398343677668705,7.8328265131445365,5.389800427234642,4.931420517030261,3.7051930270129367,6.007908463573889
12,9,4.35165958241833,5.21347913157499,7.3141404921268105,5.661391041282998,5.334727808019839,9.639750493333537
13,3,5.004940798149967,7.1082405424210675,4.828810773262958,5.312968290378456,10.11157598314383,7.318352466839298
14,5,5.45263753926579,4.980089707200111,4.755938916746146,2.4602370150834303,5.4601676541805,2.1713982461345673
15,5,5.009685671336424,7.043571899550218,4.419807175466928,2.465345509775043,8.144775751621811,5.6342903172324705
16,6,6.176546209305846,3.4682847836413053,3.1259833462552282,3.5295179482396266,6.566710772025982,3.7833676599969728
17,4,2.1828521695274716,7.47489493042274,7.600240787514376,5.479311985261285,2.001552939800604,3.124200439082599
18,2,2.0759248130626577,7.279557655707635,7.613884905873338,2.257123941415843,4.406005525493498,6.139635120644308
19,4,8.31617201584447,2.056757937158058,4.258533199707106,6.219359993121571,6.219765338011283,2.8745317982481953
20,2,7.0675781349130435,5.2637299420777355,7.269275845918604,7.4349206903675125,4.6664667149229695,8.03149651078656
