T,FC,x1,x2
1,2,7.39671288030328,9.208327588765066
2,2,4.158679562349612,9.41244192139856
3,2,7.351516780477994,5.069212756886797
4,2,7.98979724834448,5.264784829242794
5,2,7.025953315682171,3.1522636543272795
6,1,3.4240525033017795,6.483734574478239
7,0,6.279466864310929,6.511572012353018
8,2,5.667173160311043,2.2628694818004313
9,0,6.384500325298057,10.53960559541265
10,2,5.861007567941339,3.2180474763503906
11,3,5.590992830828829,3.2151891452003385
12,1,9.993950619281312,6.629201249382315
13,0,4.256049985020049,5.919665751415365
14,0,6.012606701122964,6.484236381668637
15,0,4.16449306889972,5.72464759726185
16,0,6.022007841315756,3.098327421897571
17,0,4.303944162470919,7.704833648429574
18,0,4.057498196480397,4.29682033104692
19,2,4.372245162223413,5.732689419969106
20,1,6.838983215191018,7.494506827538732
