T,FC,x1
1,1,3.344855712717292
2,2,4.612448072147415
3,4,7.015725583608741
4,0,6.242874726660483
5,1,5.246747583094495
6,1,4.5194521106490555
7,1,3.3344730191982626
8,0,5.7031916325408325
9,1,7.289493500156561
10,1,6.041353190531963
11,1,5.806016670232288
12,1,4.204563346604979
13,2,2.180333885905382
14,3,8.794008023700172
15,0,4.067838985663127
16,1,9.318209731649091
17,4,7.090037810979948
18,2,5.245066844535136
19,1,3.0790592100147807
20,0,6.87376727253592
