T,FC,x1
1,1,4.95034911020978
2,0,2.6763423281746244
3,3,6.2805218518804455
4,0,5.917137202557445
5,2,3.7928094896299163
6,5,10.346262956966024
7,4,5.8739907699098355
8,5,6.671597324394258
9,7,5.262860138933624
10,2,3.118796830611807
11,3,4.063672821386317
12,8,2.9194956921675175
13,5,4.138201574829317
14,4,3.031967129498116
15,3,7.537897304060346
16,4,5.8362356326104825
17,2,3.0853707444518754
18,6,2.0061839426973673
19,3,7.164710572815408
20,7,6.70219410703891
