T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,4,5.905536544308209,3.874732454831932,4.99516622046729,6.942091378724262,3.0828217797142936,4.429899475441856,3.1376327763249034,4.011551728946433,3.473947078347927
2,5,6.235092146977989,7.095867936555987,6.1554255647988825,4.382597871548514,4.444522534828112,4.214789492069462,7.132150361145712,2.228760764304368,6.733659520205293
3,3,3.5425815879465334,6.231578066486118,7.233745671691329,2.3370189858260613,9.08622736559495,4.808592952782169,5.78909762759618,4.409036740902719,6.0663423984452445
4,15,4.95172276272054,4.337386427707077,4.149656447421561,6.857512329709529,5.614559764654588,8.0916016575457,8.967666534627078,5.003614693417291,2.2009376752370846
5,11,7.962023269186698,4.028646863605462,7.424040999925698,8.008129058122819,8.173711369991617,3.333294013471414,4.5390798553673175,7.456116280755246,5.1147362124334625
6,11,7.267769375831754,9.254695394247321,7.682339545144308,4.108023183777647,6.524260091936477,6.804113450851674,3.5258527047182846,5.240617054363494,3.3904319761123016
7,18,7.468658283861545,4.0560594281133024,8.532033683405725,4.745928079737181,4.630519945342573,8.692150880462902,4.034116648574252,4.639976816647173,6.0905908123337555
8,10,6.3419323276835895,6.567610200994507,2.093418829368125,8.180306005453229,2.5282524765371694,3.1437452268667445,4.295773726882999,5.47574419927826,3.631463320391588
9,12,5.811760871756279,3.765007925779384,7.103544255116645,3.4383504346365323,8.257333811175693,6.8327575584466675,3.8701538426967965,7.444903423146527,2.391431910562517
10,5,2.139535893943265,5.122851583918186,8.836293140597371,3.0421304404159355,6.579581737639981,3.2601165457230725,2.544634330605207,7.603367121795759,5.830492483808967
11,6,5.623995527367514,4.134841715544587,6.195361396668156,4.625826303136272,7.121970254374142,7.4683448774985415,8.694020319081176,3.9996112297919884,7.044332767237454
12,3,6.4831041768938,4.125489986533644,5.590069661626442,3.452471749106547,7.7808806484567326,5.847419623072987,3.1420050153558012,4.133535930357218,5.365329793376626
13,3,6.999261678582158,4.091843658858979,8.161695262984122,5.848374014723114,4.172495268896144,3.761131015306794,3.346726047650933,4.766702660999407,4.155024100459137
14,0,5.661562131012716,4.866235119820974,6.083431456703734,5.016986066865368,4.3474781180624085,2.1349267543291157,8.136216039691782,3.631007977646063,10.960081046661426
15,1,6.41305843207684,6.124772986576608,3.884269663345421,4.8702778646251765,6.529634196301733,6.334058658019844,9.374484292745386,6.098582659610235,3.3268408381759422
16,0,4.719721841814051,8.43508465441602,2.6732341274678637,5.838793636843873,3.653116958813296,5.108446767140546,6.540874324170107,6.1536936202769645,2.596114056640869
17,0,8.170770199714887,6.616969403698243,4.045741348654785,4.034103935013211,5.112096107270672,6.4908694911356015,8.301056296557785,5.360339465169912,7.479748935047617
18,0,6.1908017669999325,5.1067038482317075,6.087201505686063,2.3183557525025393,6.2025457951261975,6.260495115735177,6.024592617677997,6.814632426089198,3.976577313771077
19,0,3.480310786828021,2.5264230021484595,2.2659431642079486,4.867550017321449,4.743314817249481,4.698923169984052,9.236358056962647,6.602992935854844,6.230959907061253
20,0,2.336679618135823,7.747223244735893,7.507901606259175,3.9263585211603025,10.479399385274169,7.130644664132754,7.720597286123137,7.876670097467941,4.632327241027744
