T,FC,x1,x2
1,0,5.552529095041346,5.568284454776242
2,2,4.592493273282899,6.416532155788
3,1,5.053782758062962,7.567936491742331
4,0,7.058718168005411,6.046475831598219
5,1,6.633954105399852,6.316047401802132
6,2,5.4179814948801965,7.385807519125253
7,1,3.2610265776652234,5.856262717732432
8,1,2.91403036025779,3.0566426801335607
9,1,6.331915338402243,7.667481578040028
10,2,6.427373097603789,6.436416223188165
11,1,4.900169623880728,3.316845907804578
12,0,7.678327377842532,4.035940037582327
13,0,4.603989251801634,8.345412432941623
14,1,7.689312924066779,4.862439828329704
15,0,8.02614074950802,8.352501753721182
16,0,4.002503808749283,6.278624598083757
17,0,4.188521732335902,2.326023026449399
18,0,7.38462707949772,4.074807737889618
19,0,3.1846616611454963,7.295859736342981
20,3,10.302194031641273,4.741768382532273
