T,FC,x1,x2
1,0,2.9584282407843117,5.582425924316063
2,0,7.679062420792633,8.900030905363868
3,0,3.093518067181588,5.499259868713171
4,1,5.763291457449383,5.07808125991696
5,3,6.499643944121987,8.358047116953204
6,1,2.651063032143732,3.962178532498058
7,3,7.921841527365456,4.835821625217206
8,1,2.1304608984074873,3.370397093662935
9,0,5.454349881199247,5.127513724322634
10,1,7.583555959776014,4.197572651016727
11,0,5.716638101202463,5.812883508702468
12,3,6.679670063276629,6.425549113249117
13,1,4.701936574534988,7.596829373428067
14,6,5.547231144368482,5.115804875243478
15,2,5.072553024774388,7.419134302501613
16,1,3.39335802634441,4.367684197218425
17,1,6.183775169416522,7.779577595713896
18,1,5.612390565607921,5.38114440894076
19,2,7.1141729357311085,7.144899763430342
20,1,10.106133554597886,3.9106320642768604
