T,FC,x1,x2,x3,x4,x5,x6
1,6,5.675206955444605,4.370536434683865,6.4755554008475595,2.035539489107703,7.362567217772396,4.759442047087022
2,3,3.1960009938512255,4.1376149539558735,7.950306370399,3.024357978971748,7.111765565877682,12.155940713567269
3,5,6.871300280948663,7.211990736005502,7.468076476890225,5.177848377608255,6.225209835037026,6.057813792240827
4,5,7.05938978414812,5.117832532837033,5.979297257806395,4.56850793745701,6.4733314161314786,2.5366323664684
5,2,4.281475399572279,2.626265621955269,8.43095707094841,3.537722959693097,3.3965490014813744,6.7318270906765205
6,3,6.918740197746631,2.0536442941212667,2.072706557911833,6.581350462323956,7.508897178518867,6.824843326059405
7,3,6.820526791012764,5.951485453876657,6.328220980527599,5.810115273886824,3.3719291472721125,4.626141647068548
8,2,6.034840773469961,3.0261866674471034,5.080150349229606,5.060479044475381,4.173381693081387,7.233316769920442
9,1,7.29434030700022,2.0709611944145836,3.4976692331524446,7.866263192836294,8.301992051194798,7.139197394175297
10,0,4.169221778623694,6.534999544716249,6.372547640967126,2.1728057668460092,7.317386580950998,2.689303637279279
11,3,7.2996548521600495,3.032288200680469,5.314344113986354,4.939707206212379,3.297010785235974,6.35454143345101
12,2,7.246952210409426,4.313802678288294,2.221352022728424,6.519898559229783,2.6017800425838553,3.7234447183927077
13,5,8.326708094613924,11.337150072806617,6.182803072381872,7.044771815081409,7.307739815476679,3.5223038295094975
14,3,6.442035483548365,7.431828515666081,6.241376965484251,10.52420801468772,5.171848897409398,3.6633926565118404
15,1,6.654738387654836,6.33284282446141,2.8610910563520515,3.317867883160475,5.148168280590621,6.076521748608277
16,1,7.523382143996548,3.1326467328950742,2.0745362255441986,8.411026428858602,7.048334849231187,5.288012114422105
17,2,3.0443717938825627,2.367792502377411,6.358586139563798,5.00990558483385,4.54718939710308,4.6695093527835505
18,0,5.062938594674892,5.024824079137206,7.314827529438406,8.96328976406374,4.646400104521717,5.093376033752781
19,3,4.280948786611457,6.396776125675277,7.3737422365020375,6.415835080670272,4.343893123588773,9.397802913341334
20,1,4.050781330934946,10.470725830501529,8.171918515281698,6.059204199318048,7.0017745233700985,6.374778889396295
