T,FC,x1,x2
1,0,7.159551517029042,8.458849002217464
2,1,4.265885362801142,3.1566824049586897
3,2,8.085459074930819,6.162809179178074
4,1,5.237833412272915,2.6459966672276938
5,4,4.042672986223135,13.446344989992038
6,3,4.67186033325458,5.405365706699043
7,5,6.689796881296969,6.380448514163422
8,9,8.073937410475233,7.953699243454116
9,5,4.683945801845006,7.506009264455612
10,3,2.6518889118264695,4.072357143864029
11,4,7.110714074421201,3.3572102779435324
12,4,2.722115237599964,7.6059697945547775
13,8,5.443879913996295,7.84204025550963
14,7,3.2992041134707706,4.618651138710616
15,3,8.923095342702673,5.429274463172906
16,3,4.735527316972474,6.401794626556744
17,4,3.566982666521304,5.425852485511515
18,3,3.0792971274417162,9.811263070882305
19,6,7.095050107810359,4.3668806593721605
20,4,9.253328070065914,6.719290779546292
