T,FC,x1
1,0,2.467735067574321
2,0,5.141280712629195
3,0,11.706187185456248
4,5,5.654182239941098
5,1,8.503553448620096
6,5,7.699152979487026
7,2,6.431762751911999
8,3,4.800467692343931
9,3,6.429372833142202
10,6,4.071587334567702
11,9,7.308213131641617
12,5,7.399103473851195
13,7,6.620149620186287
14,4,4.092017455244695
15,9,4.140120501037678
16,3,4.94707912629652
17,4,5.056208377564664
18,5,5.055929828524369
19,3,6.08669173016514
20,3,4.017325780126782
